date,store_id,store_name,region,product_id,product_name,category,units_sold,on_promotion,stockout_flag,unit_price_inr,revenue_inr
2024-01-01,S01,Chennai Central,South,P01,Instant Coffee 200g,Beverages,55,0,0,236.11,12986.05
2024-01-01,S01,Chennai Central,South,P02,Basmati Rice 5kg,Staples,81,0,0,671.35,54379.35
2024-01-01,S01,Chennai Central,South,P03,Toothpaste 150g,Personal Care,48,0,0,93.44,4485.12
2024-01-01,S01,Chennai Central,South,P04,Cooking Oil 1L,Staples,42,0,0,164.73,6918.66
2024-01-01,S01,Chennai Central,South,P05,Notebook A4 (Pack of 5),Stationery,25,0,0,148.71,3717.75
2024-01-01,S01,Chennai Central,South,P06,LED Bulb 9W,Home,26,0,0,108.35,2817.1
2024-01-01,S01,Chennai Central,South,P07,Biscuits Family Pack,Snacks,63,0,0,59.35,3739.05
2024-01-01,S01,Chennai Central,South,P08,Detergent Powder 1kg,Home,38,0,0,224.38,8526.44
2024-01-01,S02,Coimbatore Hub,South,P01,Instant Coffee 200g,Beverages,47,0,0,209.14,9829.58
2024-01-01,S02,Coimbatore Hub,South,P02,Basmati Rice 5kg,Staples,114,1,0,620.9,70782.6
2024-01-01,S02,Coimbatore Hub,South,P03,Toothpaste 150g,Personal Care,39,0,0,103.7,4044.3
2024-01-01,S02,Coimbatore Hub,South,P04,Cooking Oil 1L,Staples,57,0,0,170.52,9719.64
2024-01-01,S02,Coimbatore Hub,South,P05,Notebook A4 (Pack of 5),Stationery,22,0,0,151.61,3335.42
2024-01-01,S02,Coimbatore Hub,South,P06,LED Bulb 9W,Home,30,0,0,126.86,3805.8
2024-01-01,S02,Coimbatore Hub,South,P07,Biscuits Family Pack,Snacks,78,0,0,64.47,5028.66
2024-01-01,S02,Coimbatore Hub,South,P08,Detergent Powder 1kg,Home,34,0,0,221.16,7519.44
2024-01-01,S03,Bengaluru East,South,P01,Instant Coffee 200g,Beverages,47,0,0,233.48,10973.56
2024-01-01,S03,Bengaluru East,South,P02,Basmati Rice 5kg,Staples,72,0,0,704.56,50728.32
2024-01-01,S03,Bengaluru East,South,P03,Toothpaste 150g,Personal Care,36,0,0,98.61,3549.96
2024-01-01,S03,Bengaluru East,South,P04,Cooking Oil 1L,Staples,56,0,0,170.54,9550.24
2024-01-01,S03,Bengaluru East,South,P05,Notebook A4 (Pack of 5),Stationery,17,0,0,160.04,2720.68
2024-01-01,S03,Bengaluru East,South,P06,LED Bulb 9W,Home,35,1,0,131.84,4614.4
2024-01-01,S03,Bengaluru East,South,P07,Biscuits Family Pack,Snacks,50,0,0,57.27,2863.5
2024-01-01,S03,Bengaluru East,South,P08,Detergent Powder 1kg,Home,31,0,0,220.8,6844.8
2024-01-02,S01,Chennai Central,South,P01,Instant Coffee 200g,Beverages,55,0,0,198.91,10940.05
2024-01-02,S01,Chennai Central,South,P02,Basmati Rice 5kg,Staples,74,0,0,622.59,46071.66
2024-01-02,S01,Chennai Central,South,P03,Toothpaste 150g,Personal Care,48,0,0,104.12,4997.76
2024-01-02,S01,Chennai Central,South,P04,Cooking Oil 1L,Staples,50,0,0,187.93,9396.5
2024-01-02,S01,Chennai Central,South,P05,Notebook A4 (Pack of 5),Stationery,26,0,0,140.03,3640.78
2024-01-02,S01,Chennai Central,South,P06,LED Bulb 9W,Home,32,0,0,116.84,3738.88
2024-01-02,S01,Chennai Central,South,P07,Biscuits Family Pack,Snacks,69,0,0,59.15,4081.35
2024-01-02,S01,Chennai Central,South,P08,Detergent Powder 1kg,Home,41,0,0,197.56,8099.96
